用户,是否看过,评分,评论时间,有用数,评论
女神的秋裤,看过,还行,2019-09-12 19:12:49,4,超模很美，演技渣渣，花拳绣腿，毫无力道，反转加一星吧
John Coey,看过,2019-09-16 23:50:24, ,1,"貝松基本炒了自己以前在尼基塔用過的橋段, 餐廳刺殺梗又被拉出江湖,即便找來超模也表示是玩不出太多新意出來."
那个尼克Clémtt,看过,还行,2019-09-15 12:34:41,3,电影还行吧，称不上很好，影片前面真的太平淡了，看的很无聊，中间剧情才是真正的开始吧，刺杀的戏份还可以 ，最精彩的部分就是结尾的反转了，还真是螳螂捕蝉，黄雀在后。
喜喜,看过,还行,2019-09-19 22:29:01,4,全世界地位再低下的妇女也没本片中的女特务低下，被美俄集团耍的团团转，实在是太惨了。
James Bond,看过,还行,2019-09-16 14:44:58,6,让一个超模来演杀手是咋想的？女主真的无力吐槽，打斗镜头全是预告里的，奇怪的剪辑，柔弱的力度…非线性叙事和反转还稍微有点意思，此片不爽就不说了，看完还感觉就是个四不像。
YthguaN,看过,还行,2019-09-12 11:42:39,5,白天揍摄影师晚上杀人 还能跟Luke Evans Cillian Murphy乱搞 这大概是所有超模都想演的片子吧【这个叙事结构对无脑爽片来说挺帅了
教授,看过,还行,2019-09-24 21:52:17,2,吕克贝松这几年欠了十亿赌债吗？插了三十页ppt在电影里“六个月前”“三个月前”“五年后”“五年前”，作为观众我上一次被这么侮辱大概是，对不起，想不起来
国产凌凌期,看过,推荐,2019-09-15 22:43:31,2,用一个套娃式的剧情结构和剪辑来诠释特工的套娃式人生，我果然有点把吕克贝松想的太简单了。就动作戏而言，除了先行预告里的餐厅大战和结尾逃脱戏之外也没什么看点了，冲着动作这一卖点去的人多少看完会有些失望。另外海伦阿姨的扮相一开始差点没认出来。
novich,看过,推荐,2019-10-02 17:21:25,1,并不正经的设定，核心倒是很普世，套娃用得巧，莫斯科和巴黎的风光可赏，倒也不亚于超模。
猪大腿,看过,还行,2019-10-08 14:36:21,1,吕克贝松也别退休了，每两年整一部这样赏心悦目又不费脑子的爆米花不是挺好。另毛妹居然还嫌温哥华冷这真是不能忍。
圣迭戈-北岛,看过,推荐,2019-09-11 01:06:44,4,“ANИA”这个Title设计太吊了！英文字母的“N”和西里尔字母的“И的对比设定极其精妙，高度概括了整部电影，这才是碟中碟、谍海计中计！吕克·贝松玩点子的实力还是保持着，让一个女人操翻了两个大国，文本立意很高。但贝松的完成度持续下降，不少细节的处理不如题材相近的《特工绍特》，本片在氛围和质感营造上略显草率，且武戏离容易进行对标的《极寒之城》，仍然有很大一段距离。
无趣,看过,还行,2019-09-24 23:20:40,2,剧情粗糙无理到无语，动作爽酷到飞起——当然主要是美女长腿细腰演绎之力。反转反转再反转，闪回解释再闪回的结构让节奏支离破碎、厌烦累人。
herrnsommer,看过,推荐,2019-09-13 23:48:42,2,腿
老爸,看过,还行,2019-09-16 01:09:13,4,萨莎·露丝各种服装都好美
时间之葬,看过,还行,2019-09-12 21:58:53,5,吕克·贝松就是那种传说中的“一辈子都在找寻同一个女孩”的男人，但是，在拍过最无所不能的《超体》之后还拍这么一部《安娜》，即便只是满足自己的YY，又还剩多少意义呢？不过，终归比《红雀》好看一点就是
獨孤島主,看过,推荐,2020-02-15 10:54:13,1,深刻嵌于即将崩溃社会体系中的女性生理与心理防线的渐次崩溃与重建是至高无上的母题，其他的场面营造、身体呈现及谍战反转同时也是杀伤力不弱的配菜。
sosovipp,看过,推荐,2020-02-24 22:07:02,0,看点：1、一开始餐厅那段打斗戏。2、片尾的各种反转。3、颜值。
河狸,看过,推荐,2019-10-25 03:47:59,3,看看人家选的模特出身的演员，再看看我们导演选的，实在是一言难尽。
夏奈,看过,推荐,2020-01-04 01:45:05,1,《超体》、《极寒之城》之后，又塑造了一个绝佳的女性，看似依附于男性，实则将男性耍得团团转，感觉吕克·贝松现实中应该是一个不折不扣的舔狗。
SELVEN,看过,还行,2019-09-17 12:10:38,1,70/100 娱乐性十足的彩妆特工类型片，吕克贝松一贯的精致风格，观众的G点踩的还是很准的。
米粒,看过,还行,2020-01-12 23:22:59,2,超模Sasha的身段神态真的很可以，但是这剧本仿佛是用脚写的… 😅
